Column1,Numeric_Labels
बर्मेली,0
भाषा,0
मात्रै,0
जान्ने,0
अनिल,1
की,0
श्रीमती,0
अनि,0
नेपाली,0
",",0
अंग्रे,0
जी,0
र,0
थोडाबहुत,0
हिन्दी,0
समझने,0
लेकिन,0
बोल्न,0
उस्तो,0
नआउने,0
हामी,0
।,0
विवाह,0
को,0
कुरा,0
ले,0
उन,0
लाई,0
शैशवकाल,0
मा,0
पुर्याउँदै,0
थियो,0
।,0
अर्चना,1
:,0
तपाई,0
ले,0
अघि,0
भन्नु,0
भयो,0
की,0
तपाई,0
को,0
सिने,0
मा,0
अन्य,0
मूलधारका,0
भन्दा,0
फरक,0
हुन्छ,0
।,0
अर्,0
की,0
छोरी,0
को,0
पनि,0
क्यान्सर,0
को,0
कारण,0
ले,0
मृत्यु,0
भएको,0
धेरै,0
भएको,0
छैन,0
।,0
बनेपाली,1
ले,0
चित्र,0
बनाइरहेका,0
बेला,0
स्थानीय,0
ले,0
गोलो,0
घेरा,0
बनाएर,0
आफ्नो,0
चोक,0
लाई,0
क्यानभास,0
मा,0
हेर्दै,0
थिए,0
।,0
नवलपुर,5
को,0
पहाडी,0
गाउँ,0
डेढगाउँ,5
मा,0
हाम्रो,0
कूलका,0
चार,0
घर,0
मात्र,0
बाँ,0
की,0
छन्,0
।,0
चितवन,5
को,0
खैरहनी,5
मा,0
मेगा,3
बैंक,4
को,0
शाखारहित,0
बैंकिङ,0
सेवा,0
उन,0
ले,0
भने,0
",",0
‘,0
पछिल्ला,0
वर्ष,0
नेपाल,5
मा,0
महिला,0
क्रिकेट,0
अवस्था,0
शून्य,0
जस्तै,0
छ,0
",",0
यो,0
अवस्था,0
को,0
अन्त्य,0
गर्नु,0
जरूरी,0
छ,0
।,0
अमेरिकी,3
विदेश,4
मन्त्रालय,4
ले,0
जारी,0
गरे,0
को,0
पासपोर्ट,0
गाइड,0
मा,0
यात्रु,0
ले,0
आफ्नो,0
कपाल,0
रंग्याएर,0
पासपोर्ट,0
मा,0
भएको,0
फोटो,0
भन्दा,0
भिन्न,0
बनाए,0
पनि,0
त्यस,0
ले,0
कुनै,0
पनि,0
फरक,0
न,0
पर्ने,0
स्पष्ट,0
सँग,0
उल्लेख,0
गरिए,0
को,0
छ,0
।,0
नेपाल,3
प्रहरी,4
बाट,0
सह,0
मर्यादापालक,0
को,0
रूपमा,0
कार्यरत,0
प्रकाश,1
मल्ल,2
ले,0
एउटा,0
सानो,0
कोठा,0
मा,0
पोशाक,0
परिवर्तन,0
गरे,0
पछि,0
सिँढी,0
मा,0
गएर,0
ऐना,0
हेर्नु,0
पर्ने,0
बाध्यता,0
रहे,0
को,0
बताउँछन्,0
।,0
दशैं,0
तिहार,0
मा,0
नाचिने,0
सखिया,0
नाच,0
मा,0
आधारित,0
फिल्म,0
सत्य,0
घटना,0
मा,0
आधारित,0
छ,0
।,0
अन्तिम,0
मा,0
निराश,0
वियोगी,1
वीरगन्ज,5
पुगे,0
।,0
प्रमुख,0
रूपमा,0
दाङ,5
",",0
बाँके,5
र,0
बर्दीया,5
लगायतका,0
जिल्ला,0
मा,0
कपास,0
खेतीहुँदै,0
आए,0
को,0
छ,0
।,0
गण्डकी,3
प्रदेश,4
सरकार,4
ले,0
माघ,0
१,0
गते,0
माघे,0
संक्रान्ती,0
र,0
माघी,0
को,0
अवसर,0
मा,0
सार्वजनिक,0
बिदा,0
दिने,0
निर्णय,0
गरे,0
को,0
छ,0
।,0
जागिर,0
खान,0
गएका,0
एक,0
म्यादी,0
प्रहरी,0
को,0
ज्यान,0
गयो,0
।,0
विवाद,0
समाधानका,0
लागि,0
मुख्यमन्त्री,0
राई,1
ले,0
पहल,0
गरेका,0
हुन्,0
।,0
बाजाका,0
ताल,0
मा,0
नाच्न,0
नजाने,0
चोटपटक,0
लाग्ने,0
गरे,0
को,0
दिपायल,5
का,0
समाजसेवी,0
घनश्याम,1
पाठक,2
ले,0
बताए,0
।,0
काठमाडौं,5
को,0
टेकु,5
